stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
AMAT,1:2,5,5,5,0.98,4,80.0,0.79,80.568,4,80.0,0.79,80.568,4,80.0,0.79,80.568,4,80.0,0.79,80.568,4,80.0,0.79,80.568,4,80.0,0.79,80.568,4,80.0,0.79,80.568,4,80.0,0.79,80.568,4,80.0,0.79,80.568,4,80.0,0.79,80.568,4,80.0,0.79,80.568,4,80.0,0.79,80.568,4,80.0,0.79,80.568
AMAT,1:2,10,10,10,1.86,9,90.0,1.7,91.597,9,90.0,1.7,91.597,9,90.0,1.7,91.597,9,90.0,1.7,91.597,9,90.0,1.7,91.597,9,90.0,1.7,91.597,9,90.0,1.7,91.597,9,90.0,1.7,91.597,9,90.0,1.7,91.597,9,90.0,1.7,91.597,9,90.0,1.7,91.597,9,90.0,1.7,91.597,9,90.0,1.7,91.597
AMAT,1:2,15,15,15,2.78,14,93.333,2.63,94.386,14,93.333,2.63,94.386,14,93.333,2.63,94.386,14,93.333,2.63,94.386,14,93.333,2.63,94.386,14,93.333,2.63,94.386,14,93.333,2.63,94.386,14,93.333,2.63,94.386,14,93.333,2.63,94.386,14,93.333,2.63,94.386,14,93.333,2.63,94.386,14,93.333,2.63,94.386,14,93.333,2.63,94.386
AMAT,1:2,25,25,25,4.56,24,96.0,4.4,96.571,24,96.0,4.4,96.571,24,96.0,4.4,96.571,24,96.0,4.4,96.571,24,96.0,4.4,96.571,24,96.0,4.4,96.571,24,96.0,4.4,96.571,24,96.0,4.4,96.571,24,96.0,4.4,96.571,24,96.0,4.4,96.571,24,96.0,4.4,96.571,24,96.0,4.4,96.571,24,96.0,4.4,96.571
AMAT,1:2,50,50,50,9.5,49,98.0,9.34,98.355,49,98.0,9.34,98.355,49,98.0,9.34,98.355,49,98.0,9.34,98.355,49,98.0,9.34,98.355,49,98.0,9.34,98.355,49,98.0,9.34,98.355,49,98.0,9.34,98.355,49,98.0,9.34,98.355,49,98.0,9.34,98.355,49,98.0,9.34,98.355,49,98.0,9.34,98.355,49,98.0,9.34,98.355
AMAT,1:2,100,100,100,21.57,99,99.0,21.41,99.276,99,99.0,21.41,99.276,99,99.0,21.41,99.276,99,99.0,21.41,99.276,99,99.0,21.41,99.276,99,99.0,21.41,99.276,99,99.0,21.41,99.276,99,99.0,21.41,99.276,99,99.0,21.41,99.276,99,99.0,21.41,99.276,99,99.0,21.41,99.276,99,99.0,21.41,99.276,99,99.0,21.41,99.276
AMAT,1:2,500,500,500,154.11,499,99.8,154.11,99.999,499,99.8,154.11,99.999,499,99.8,154.11,99.999,499,99.8,154.11,99.999,499,99.8,154.11,99.999,499,99.8,154.11,99.999,499,99.8,154.11,99.999,499,99.8,154.11,99.999,499,99.8,154.11,99.999,499,99.8,154.11,99.999,499,99.8,154.11,99.999,499,99.8,154.11,99.999,499,99.8,154.11,99.999
AMAT,1:2,1000,597,597,270.07,596,99.832,269.78,99.894,596,99.832,269.78,99.894,596,99.832,269.78,99.894,596,99.832,269.78,99.894,596,99.832,269.78,99.894,596,99.832,269.78,99.894,596,99.832,269.78,99.894,596,99.832,269.78,99.894,596,99.832,269.78,99.894,596,99.832,269.78,99.894,596,99.832,269.78,99.894,596,99.832,269.78,99.894,596,99.832,269.78,99.894
AMAT,1:2,2000,811,811,376.88,811,100.0,376.72,99.957,811,100.0,376.72,99.957,811,100.0,376.72,99.957,811,100.0,376.72,99.957,811,100.0,376.72,99.957,811,100.0,376.72,99.957,811,100.0,376.72,99.957,811,100.0,376.72,99.957,811,100.0,376.72,99.957,811,100.0,376.72,99.957,811,100.0,376.72,99.957,811,100.0,376.72,99.957,811,100.0,376.72,99.957
AMAT,1:2,5000,1668,1668,23553.84,1667,99.94,23551.22,99.989,1667,99.94,23551.22,99.989,1667,99.94,23551.22,99.989,1667,99.94,23551.22,99.989,1667,99.94,23551.22,99.989,1667,99.94,23551.22,99.989,1667,99.94,23551.22,99.989,1667,99.94,23551.22,99.989,1667,99.94,23551.22,99.989,1667,99.94,23551.22,99.989,1667,99.94,23551.22,99.989,1667,99.94,23551.22,99.989,1667,99.94,23551.22,99.989
