recipe,external_wins_gft,tie_gft,ascending_wins_gft,external_wins_k,tie_k,ascending_wins_k,external_wins,tie,ascending_wins
"(6, 7, 7)",45,0,55,0,100,0,9,0,11
"(6, 7, 8)",40,0,60,0,100,0,8,0,12
"(6, 7, 9)",50,0,50,0,100,0,10,0,10
"(6, 8, 1)",45,0,55,0,100,0,9,0,11
"(6, 8, 2)",40,0,60,0,100,0,8,0,12
"(6, 8, 3)",60,0,40,0,100,0,12,0,8
"(6, 8, 4)",55,0,45,0,100,0,11,0,9
"(6, 8, 5)",55,0,45,0,100,0,11,0,9
"(6, 8, 6)",45,0,55,0,100,0,9,0,11
"(6, 8, 7)",55,0,45,0,100,0,11,0,9
"(6, 8, 8)",55,0,45,0,100,0,11,0,9
"(6, 8, 9)",65,0,35,0,100,0,13,0,7
"(6, 9, 1)",60,0,40,0,100,0,12,0,8
"(6, 9, 2)",60,0,40,0,100,0,12,0,8
"(6, 9, 3)",45,0,55,0,100,0,9,0,11
"(6, 9, 4)",50,0,50,0,100,0,10,0,10
"(6, 9, 5)",40,0,60,0,100,0,8,0,12
"(6, 9, 6)",40,0,60,0,100,0,8,0,12
"(6, 9, 7)",40,0,60,0,100,0,8,0,12
"(6, 9, 8)",40,0,60,0,100,0,8,0,12
"(6, 9, 9)",55,0,45,0,100,0,11,0,9
"(7, 1, 1)",55,0,45,0,100,0,11,0,9
"(7, 1, 2)",55,0,45,0,100,0,11,0,9
"(7, 1, 3)",50,0,50,0,100,0,10,0,10
"(7, 1, 4)",55,0,45,0,100,0,11,0,9
"(7, 1, 5)",55,0,45,0,100,0,11,0,9
"(7, 1, 6)",35,0,65,0,100,0,7,0,13
"(7, 1, 7)",65,0,35,0,100,0,13,0,7
"(7, 1, 8)",50,0,50,0,100,0,10,0,10
"(7, 1, 9)",70,0,30,0,100,0,14,0,6
"(7, 2, 1)",40,0,60,0,100,0,8,0,12
"(7, 2, 2)",75,0,25,0,100,0,15,0,5
"(7, 2, 3)",50,0,50,0,100,0,10,0,10
"(7, 2, 4)",45,0,55,0,100,0,9,0,11
"(7, 2, 5)",45,0,55,0,100,0,9,0,11
"(7, 2, 6)",60,0,40,0,100,0,12,0,8
"(7, 2, 7)",55,0,45,0,100,0,11,0,9
"(7, 2, 8)",50,0,50,0,100,0,10,0,10
"(7, 2, 9)",45,0,55,0,100,0,9,0,11
"(7, 3, 1)",55,0,45,0,100,0,11,0,9
"(7, 3, 2)",55,0,45,0,100,0,11,0,9
"(7, 3, 3)",65,0,35,0,100,0,13,0,7
"(7, 3, 4)",60,0,40,0,100,0,12,0,8
"(7, 3, 5)",55,0,45,0,100,0,11,0,9
"(7, 3, 6)",60,0,40,0,100,0,12,0,8
"(7, 3, 7)",55,0,45,0,100,0,11,0,9
"(7, 3, 8)",45,5,50,0,100,0,9,1,10
"(7, 3, 9)",55,0,45,0,100,0,11,0,9
"(7, 4, 1)",45,0,55,0,100,0,9,0,11
"(7, 4, 2)",40,0,60,0,100,0,8,0,12
"(7, 4, 3)",70,0,30,0,100,0,14,0,6
"(7, 4, 4)",65,0,35,0,100,0,13,0,7
"(7, 4, 5)",45,0,55,0,100,0,9,0,11
"(7, 4, 6)",45,0,55,0,100,0,9,0,11
"(7, 4, 7)",40,0,60,0,100,0,8,0,12
"(7, 4, 8)",60,0,40,0,100,0,12,0,8
"(7, 4, 9)",50,0,50,0,100,0,10,0,10
"(7, 5, 1)",50,0,50,0,100,0,10,0,10
"(7, 5, 2)",45,0,55,0,100,0,9,0,11
"(7, 5, 3)",55,0,45,0,100,0,11,0,9
"(7, 5, 4)",60,0,40,0,100,0,12,0,8
"(7, 5, 5)",30,0,70,0,100,0,6,0,14
"(7, 5, 6)",35,5,60,0,100,0,7,1,12
"(7, 5, 7)",55,0,45,0,100,0,11,0,9
"(7, 5, 8)",50,0,50,0,100,0,10,0,10
"(7, 5, 9)",35,0,65,0,100,0,7,0,13
"(7, 6, 1)",65,0,35,0,100,0,13,0,7
"(7, 6, 2)",50,0,50,0,100,0,10,0,10
"(7, 6, 3)",65,0,35,0,100,0,13,0,7
"(7, 6, 4)",40,0,60,0,100,0,8,0,12
"(7, 6, 5)",45,0,55,0,100,0,9,0,11
"(7, 6, 6)",35,0,65,0,100,0,7,0,13
"(7, 6, 7)",55,0,45,0,100,0,11,0,9
"(7, 6, 8)",25,0,75,0,100,0,5,0,15
"(7, 6, 9)",50,0,50,0,100,0,10,0,10
"(7, 7, 1)",45,0,55,0,100,0,9,0,11
"(7, 7, 2)",55,0,45,0,100,0,11,0,9
"(7, 7, 3)",45,0,55,0,100,0,9,0,11
"(7, 7, 4)",45,0,55,0,100,0,9,0,11
"(7, 7, 5)",60,0,40,0,100,0,12,0,8
"(7, 7, 6)",40,0,60,0,100,0,8,0,12
"(7, 7, 7)",40,0,60,0,100,0,8,0,12
"(7, 7, 8)",60,0,40,0,100,0,12,0,8
"(7, 7, 9)",45,0,55,0,100,0,9,0,11
"(7, 8, 1)",55,0,45,0,100,0,11,0,9
"(7, 8, 2)",50,0,50,0,100,0,10,0,10
"(7, 8, 3)",60,0,40,0,100,0,12,0,8
"(7, 8, 4)",70,0,30,0,100,0,14,0,6
