iterations,recipe,numofagents,meanoptimalcount,meanoptimalkmin,meanoptimalkmax,gftformula,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
50,[0- [1- None- 2- [3- None]]],16,10.28,4.22,6.06,61.68582375478928,5.88,57.19844357976653,14783.76,7655.2,51.78114363328409
50,[0- [1- None- 2- [3- None]]],26,16.58,7.04,9.54,75.12437810945275,9.1,54.8854041013269,24350.06,13007.74,53.41974516695236
50,[0- [1- None- 2- [3- None]]],50,31.5,13.44,18.06,86.14958448753463,18.98,60.253968253968246,47612.78,26432.32,55.51517890784786
50,[0- [1- None- 2- [3- None]]],100,62.9,26.86,36.04,92.82124910265614,39.46,62.73449920508743,95490.42,52915.92,55.414899211879046
50,[0- [1- None- 2- [3- None]]],500,319.2,136.72,182.48,98.54777810049377,199.02,62.34962406015038,477990.58,265505.0,55.54607373224802
50,[0- [1- None- 2- [3- None]]],1000,636.34,274.02,362.32,99.2727801614428,398.76,62.664613257063856,957803.92,533843.54,55.73620329304979
50,[0- [1- None- 2- [3- None]]],2000,1276.88,545.84,731.04,99.63426230707337,801.02,62.73259820813232,1920303.38,1067462.6,55.58822689777279
50,[0- [1- None- 2- [3- None]]],5000,3186.22,1360.64,1825.58,99.85311829852238,2001.94,62.831191819773906,4778332.16,2654856.46,55.5603162589685
50,[0- [1- None- 2- [3- None]]],2,1.26,2000.96,0.98,99.90009790405405,0.0,0.0,1431.72,0.0,0.0
50,[0- [1- None- 2- [3- None]]],4,2.5,1.16,1.64,7.407407407407402,1.0,40.0,3500.48,1157.8,33.07546393637444
