stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio
AMZN,1:4,4,2,2,3.96,2,2,100.0,100.0,3.96,3.96,100.0,100.0,2,2,100.0,100.0,3.96,3.96,100.0,100.0,2,2,100.0,100.0,3.96,3.96,100.0,100.0,2,2,100.0,100.0,3.96,3.96,100.0,100.0
AMZN,1:4,5,3,3,4.5,2,2,66.666,66.666,4.25,4.25,94.443,94.443,2,2,66.666,66.666,4.25,4.25,94.443,94.443,2,2,66.666,66.666,4.25,4.25,94.443,94.443,2,2,66.666,66.666,4.25,4.25,94.443,94.443
AMZN,1:4,10,6,6,8.54,4,4,66.666,66.666,7.58,7.58,88.779,88.779,5,5,83.333,83.333,8.06,8.06,94.39,94.39,4,4,66.666,66.666,7.58,7.58,88.779,88.779,5,5,83.333,83.333,8.06,8.06,94.39,94.39
AMZN,1:4,15,9,9,10.71,7,7,77.777,77.777,10.23,10.23,95.503,95.503,8,8,88.888,88.888,10.47,10.47,97.751,97.751,7,7,77.777,77.777,10.23,10.23,95.503,95.503,8,8,88.888,88.888,10.47,10.47,97.751,97.751
AMZN,1:4,25,15,15,13.9,14,14,93.333,93.333,13.54,13.54,97.451,97.451,14,14,93.333,93.333,13.54,13.54,97.451,97.451,14,14,93.333,93.333,13.54,13.54,97.451,97.451,14,14,93.333,93.333,13.54,13.54,97.451,97.451
AMZN,1:4,50,27,28,61.63,26,26,92.857,92.857,59.74,59.74,96.941,96.941,27,27,96.428,96.428,61.24,61.24,99.378,99.378,26,26,92.857,92.857,59.74,59.74,96.941,96.941,27,27,96.428,96.428,61.24,61.24,99.378,99.378
AMZN,1:4,100,55,55,265.22,53,53,96.363,96.363,261.51,261.51,98.603,98.603,55,55,100.0,100.0,265.22,265.22,100.0,100.0,53,53,96.363,96.363,261.51,261.51,98.603,98.603,55,55,100.0,100.0,265.22,265.22,100.0,100.0
AMZN,1:4,500,254,254,35949.49,253,253,99.606,99.606,35935.58,35935.58,99.961,99.961,253,253,99.606,99.606,35935.58,35935.58,99.961,99.961,253,253,99.606,99.606,35935.58,35935.58,99.961,99.961,253,253,99.606,99.606,35935.58,35935.58,99.961,99.961
AMZN,1:4,1000,503,503,102585.7,503,503,100.0,100.0,102585.7,102585.7,100.0,100.0,503,503,100.0,100.0,102585.7,102585.7,100.0,100.0,503,503,100.0,100.0,102585.7,102585.7,100.0,100.0,503,503,100.0,100.0,102585.7,102585.7,100.0,100.0
AMZN,1:4,2000,1007,1007,157776.24,1006,1006,99.9,99.9,157713.76,157713.76,99.96,99.96,1006,1006,99.9,99.9,157713.76,157713.76,99.96,99.96,1006,1006,99.9,99.9,157713.76,157713.76,99.96,99.96,1006,1006,99.9,99.9,157713.76,157713.76,99.96,99.96
